N,id_TT,name_TT,address,latitude,longitude,region_tt
1350,11631,1350М_Васильцовский5,"Москва ул. Васильцовский стан, д. 5, к.1",55.713826,37.750712,Москва
1352,11633,1352М_Усачева29,"Москва г. Москва, Усачева, 29к1",55.724429,37.563817,Москва
1353,11634,1353М_Осенний18,"Москва Осенний бульвар, д.18",55.761345,37.408301,Москва
1355,11636,1355М_ХимкинскийБульвар21,"Москва Химкинский бульвар, 21",55.849388,37.443111,Москва
1356,11637,1356Ш_Ленинградское68,Москва Ленинградское шоссе 68,55.845784,37.477633,Москва
1357,11638,1357М_БГрузинская57,Москва Большая Грузинская 57 к1,55.771413,37.583266,Москва
1361,11642,1361М_БольшаяЧеркизовская6,"Москва ул. Большая Черкизовская, 6",55.796203,37.719594,Москва
1362,11643,1362М_Щёлковское12,"Москва Щёлковское шоссе, д. 12, корп.1",55.806105,37.770079,Москва
1364,11645,1364М_Красностуденческий2,"Москва Красностуденческий проезд, д.2",55.825795,37.567500,Москва
1370,11651,1370М_Мира76,Москва Проспект Мира 76 стр 1,55.790737,37.635215,Москва
1373,11654,1373М_Стрельбищенский5,"Москва Стрельбищенский переулок, д. 5, стр. 1",55.758119,37.538548,Москва
1376,11657,1376М_Ельнинская23,"Москва ул.Ельнинская, д.23, стр.2",55.740548,37.417473,Москва
1381,11662,1381М_Кутузовский24,"Москва Кутузовский пр-т, 24",55.744526,37.545267,Москва
1383,11664,1383М_Открытое24,Москва Открытое шоссе 24к11,55.822837,37.757260,Москва
1384,11665,1384М_МаршалаЗахарова16,"Москва Маршала Захарова, д.16 к 2",55.621546,37.698223,Москва
1385,11666,1385М_МаршалаБирюзова16,"Москва г. Москва, Маршала Бирюзова, 16",55.794593,37.492051,Москва
1388,11669,1388М_Чертановская48,"Москва г. Москва, Чертановская, 48к3",55.606822,37.589536,Москва
1389,11670,1389М_1-яВладимирская21,"Москва г. Москва, 1-я Владимирская, 21",55.756118,37.777068,Москва
1390,11671,1390М_Нагорная21,"Москва ул. Нагорная, д.21, к.1",55.678204,37.603406,Москва
1392,11673,1392М_Университетский21к1,"Москва Университетский пр.,д.21 к 1",55.714151,37.521066,Москва
